region,time,killings,houseprice,unemp
1,1983q1,2.549731,,
1,1983q2,2.1247759,,
1,1983q3,.8499105,,
1,1983q4,1.699821,,
1,1984q1,1.274866,,
1,1984q2,2.9746871,,
1,1984q3,.8499105,,
1,1984q4,.8499105,26889,
1,1985q1,1.699821,23222,
1,1985q2,.8499105,28436,
1,1985q3,.8499105,,
1,1985q4,.42495519,26464,
1,1986q1,1.274866,25809,
1,1986q2,.8499105,27141,
1,1986q3,4.6745081,27993,
1,1986q4,2.1247759,26267,
1,1987q1,3.399642,24491,
1,1987q2,5.099463,27121,
1,1987q3,4.6745081,26546,34696.672
1,1987q4,1.699821,,33125.328
1,1988q1,5.5244179,28725,32182
1,1988q2,2.549731,29627,31709
1,1988q3,6.3743291,28539,31913
1,1988q4,2.9746871,27832,29781.33
1,1989q1,4.6745081,27584,29704.67
1,1989q2,1.274866,27313,28686.33
1,1989q3,1.699821,32465,29036.33
1,1989q4,1.274866,31376,27489
1,1990q1,2.549731,30067,26978.33
1,1990q2,2.1247759,34377,26328.67
1,1990q3,1.274866,32009,26937.67
1,1990q4,3.8245969,32577,25651
1,1991q1,1.274866,30594,26012.67
1,1991q2,3.8245969,35687,26052.67
1,1991q3,4.6745081,35396,27736.33
1,1991q4,9.7739706,37604,27022
1,1992q1,5.5244179,33848,27667.33
1,1992q2,2.1247759,36227,27875.67
1,1992q3,5.9493728,41182,29423.33
1,1992q4,5.099463,39904,28179.67
1,1993q1,3.399642,32136,28650
1,1993q2,1.699821,36845,27903
1,1993q3,2.9746871,37890,29368
1,1993q4,9.7739706,39313,27808
1,1994q1,2.1247759,37988,27090.33
1,1994q2,7.6491938,41682,26295.33
1,1994q3,2.1247759,42811,27439.33
1,1994q4,.42495519,37558,25320
1,1995q1,0,39090,24528.67
1,1995q2,.42495519,43321,23253.33
1,1995q3,.42495519,46127,24473.67
1,1995q4,2.1247759,48253,22332.33
1,1996q1,.8499105,49268,22117.67
1,1996q2,.8499105,48498,21915.33
1,1996q3,.42495519,52821,23252.33
1,1996q4,.42495519,56073,19426.33
1,1997q1,.42495519,57604,17457.33
1,1997q2,2.1247759,55584,16124
